epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2305.94,1.17597,0.77461,0.91908,0.58997,0.46929,0.49956,0.31062,1.209,0.86171,0.94267,0.005842,0.005842,0.005842
44,2359.52,1.16884,0.76551,0.9173,0.6006,0.46716,0.50031,0.30968,1.21923,0.86344,0.94446,0.005743,0.005743,0.005743
45,2413.22,1.1646,0.75981,0.91633,0.5861,0.47154,0.49874,0.30768,1.22031,0.8694,0.94426,0.005644,0.005644,0.005644
46,2467.07,1.16922,0.76128,0.91876,0.57655,0.48206,0.50064,0.31208,1.21478,0.86251,0.94248,0.005545,0.005545,0.005545
47,2519.37,1.16249,0.75763,0.91689,0.5912,0.47914,0.50387,0.31184,1.22279,0.86453,0.94414,0.005446,0.005446,0.005446
48,2572.93,1.16421,0.75624,0.91599,0.58096,0.47879,0.50397,0.31277,1.21533,0.85616,0.94167,0.005347,0.005347,0.005347
49,2626.61,1.15729,0.74969,0.91345,0.61074,0.47939,0.50915,0.31702,1.20793,0.85689,0.94197,0.005248,0.005248,0.005248
50,2680.3,1.155,0.75005,0.91469,0.5974,0.47538,0.50478,0.31441,1.22037,0.85955,0.94345,0.005149,0.005149,0.005149
51,2733.76,1.15043,0.74388,0.91279,0.60187,0.47124,0.5041,0.31277,1.21192,0.86354,0.94127,0.00505,0.00505,0.00505
52,2787.22,1.14785,0.73708,0.91261,0.58797,0.48509,0.50595,0.31582,1.21125,0.85896,0.94069,0.004951,0.004951,0.004951
53,2841.03,1.15283,0.74126,0.91332,0.59379,0.47968,0.50873,0.31702,1.21505,0.85043,0.94007,0.004852,0.004852,0.004852
54,2894.76,1.14816,0.73702,0.9116,0.59596,0.47321,0.50313,0.31347,1.21173,0.86,0.94049,0.004753,0.004753,0.004753
55,2948.16,1.14068,0.72949,0.91191,0.59115,0.48519,0.50873,0.31621,1.21635,0.8542,0.94127,0.004654,0.004654,0.004654
56,3001.79,1.14352,0.72685,0.9102,0.59284,0.47842,0.50788,0.31707,1.2096,0.85762,0.93988,0.004555,0.004555,0.004555
57,3055.65,1.14084,0.72576,0.90962,0.59124,0.47401,0.50391,0.31321,1.21481,0.85989,0.94044,0.004456,0.004456,0.004456
58,3107.64,1.13309,0.71803,0.90914,0.59368,0.47911,0.50701,0.31532,1.21412,0.85809,0.94089,0.004357,0.004357,0.004357
59,3160.93,1.13566,0.71664,0.90863,0.60483,0.48032,0.51067,0.31693,1.21446,0.85683,0.94059,0.004258,0.004258,0.004258
60,3214.64,1.13437,0.71916,0.90824,0.58792,0.48826,0.50919,0.31608,1.21153,0.85591,0.94051,0.004159,0.004159,0.004159
61,3268.31,1.12825,0.71184,0.90788,0.59369,0.48343,0.50946,0.31791,1.20941,0.85295,0.94,0.00406,0.00406,0.00406
62,3322.01,1.12889,0.71184,0.90597,0.59292,0.48071,0.50756,0.3172,1.21088,0.85422,0.93919,0.003961,0.003961,0.003961
63,3375.55,1.12282,0.70482,0.90619,0.60214,0.47384,0.50721,0.31527,1.2174,0.85554,0.94149,0.003862,0.003862,0.003862
64,3429.14,1.12391,0.70351,0.90654,0.59698,0.48036,0.50923,0.3176,1.21224,0.85603,0.94016,0.003763,0.003763,0.003763
65,3482.78,1.12093,0.69909,0.90403,0.59995,0.48518,0.51213,0.31937,1.20991,0.85009,0.93981,0.003664,0.003664,0.003664
66,3536.43,1.12129,0.69984,0.90532,0.59869,0.48256,0.50869,0.31764,1.21085,0.8563,0.93991,0.003565,0.003565,0.003565
67,3589.39,1.11988,0.69592,0.90364,0.60142,0.47925,0.5091,0.31703,1.21176,0.8547,0.94033,0.003466,0.003466,0.003466
68,3641.98,1.11898,0.69269,0.90345,0.58914,0.4884,0.50915,0.31766,1.21133,0.8516,0.93924,0.003367,0.003367,0.003367
69,3694.95,1.11069,0.68851,0.9027,0.59875,0.48165,0.51004,0.31789,1.20776,0.85187,0.93853,0.003268,0.003268,0.003268
70,3748.09,1.11192,0.6861,0.90293,0.60526,0.48555,0.51202,0.31839,1.21102,0.8551,0.93984,0.003169,0.003169,0.003169
71,3801.34,1.11021,0.68282,0.90104,0.59842,0.48783,0.51082,0.31875,1.20778,0.85353,0.93967,0.00307,0.00307,0.00307
72,3854.65,1.11064,0.68378,0.90205,0.59892,0.48713,0.51138,0.31935,1.20804,0.85548,0.93882,0.002971,0.002971,0.002971
73,3907.85,1.10634,0.67812,0.90117,0.59558,0.48773,0.50943,0.31779,1.20809,0.85203,0.93898,0.002872,0.002872,0.002872
74,3961.05,1.11214,0.68088,0.90008,0.60765,0.47429,0.50646,0.31656,1.20855,0.85503,0.93876,0.002773,0.002773,0.002773
75,4014.38,1.09643,0.6705,0.89908,0.59386,0.48639,0.50952,0.31729,1.21124,0.85506,0.93962,0.002674,0.002674,0.002674
76,4067.69,1.09856,0.66832,0.90023,0.60595,0.47957,0.50864,0.31751,1.21071,0.85294,0.93983,0.002575,0.002575,0.002575
77,4121.17,1.09763,0.6685,0.89796,0.6097,0.47993,0.50853,0.31693,1.20971,0.85554,0.93886,0.002476,0.002476,0.002476
78,4174.76,1.09689,0.66757,0.8978,0.59528,0.48948,0.51057,0.31813,1.20994,0.85174,0.93842,0.002377,0.002377,0.002377
79,4228.2,1.08908,0.65937,0.89707,0.60333,0.48756,0.51005,0.31807,1.20735,0.85003,0.93757,0.002278,0.002278,0.002278
80,4282.06,1.09253,0.66121,0.89682,0.60861,0.48207,0.51049,0.31811,1.20814,0.85284,0.93827,0.002179,0.002179,0.002179
81,4335.29,1.09307,0.65799,0.89711,0.60418,0.48457,0.50856,0.3177,1.20966,0.85684,0.93888,0.00208,0.00208,0.00208
82,4388.62,1.09053,0.65525,0.89556,0.61389,0.47952,0.50856,0.31763,1.21162,0.85629,0.93873,0.001981,0.001981,0.001981
83,4441.97,1.08344,0.65062,0.89457,0.60876,0.48593,0.50902,0.31887,1.21088,0.85344,0.93922,0.001882,0.001882,0.001882
84,4495.39,1.08409,0.64942,0.8947,0.60883,0.48126,0.50865,0.31797,1.21028,0.8566,0.93934,0.001783,0.001783,0.001783
85,4549.23,1.08171,0.6483,0.89407,0.60206,0.4849,0.5093,0.31747,1.21162,0.85701,0.93997,0.001684,0.001684,0.001684
86,4602.76,1.08057,0.64568,0.89418,0.60169,0.48453,0.50814,0.31771,1.21051,0.8561,0.94008,0.001585,0.001585,0.001585
87,4656.31,1.0753,0.64089,0.89171,0.60864,0.4786,0.50622,0.3157,1.21171,0.85676,0.94028,0.001486,0.001486,0.001486
88,4709.75,1.06869,0.63524,0.89084,0.60314,0.479,0.50574,0.31546,1.2144,0.8567,0.94083,0.001387,0.001387,0.001387
89,4763.15,1.07486,0.63771,0.89205,0.60126,0.48067,0.50546,0.31516,1.21571,0.85806,0.94076,0.001288,0.001288,0.001288
90,4816.66,1.07197,0.63626,0.89249,0.59744,0.48046,0.50492,0.31448,1.21514,0.86002,0.94064,0.001189,0.001189,0.001189
91,4868.03,1.07187,0.62792,0.89675,0.59134,0.48246,0.50364,0.31308,1.21841,0.86401,0.94153,0.00109,0.00109,0.00109
92,4918.51,1.06232,0.61444,0.89288,0.58021,0.49031,0.50435,0.31286,1.21966,0.8633,0.94169,0.000991,0.000991,0.000991
93,4969.13,1.05647,0.61142,0.89221,0.58178,0.48739,0.50274,0.31215,1.21905,0.86349,0.94161,0.000892,0.000892,0.000892
94,5019.7,1.05545,0.60853,0.89235,0.58106,0.48734,0.50262,0.31206,1.22022,0.8645,0.94185,0.000793,0.000793,0.000793
95,5070.19,1.05183,0.60477,0.89141,0.58755,0.48622,0.50171,0.31168,1.22077,0.86385,0.94219,0.000694,0.000694,0.000694
96,5120.77,1.048,0.59877,0.88976,0.59127,0.48361,0.50167,0.31182,1.22217,0.8643,0.94245,0.000595,0.000595,0.000595
97,5171.48,1.04379,0.59714,0.88961,0.59192,0.48383,0.50106,0.31161,1.22164,0.86506,0.94263,0.000496,0.000496,0.000496
98,5222.04,1.04352,0.59388,0.88895,0.598,0.48178,0.50154,0.31155,1.22273,0.86546,0.94297,0.000397,0.000397,0.000397
99,5272.53,1.04009,0.59265,0.88805,0.59537,0.48395,0.50156,0.31109,1.22276,0.86666,0.94298,0.000298,0.000298,0.000298
100,5323.08,1.04089,0.59047,0.88868,0.59798,0.48269,0.50206,0.31139,1.22244,0.86688,0.94283,0.000199,0.000199,0.000199
